Epic,Feature,Test Scenario,Test steps,Expected,Automation status,Comments
DC1 platform Gen AI chatbot service,AI assist,"Verify that the AI Assist chat window opens when the any user clicks the ""AI Assist"" option in the Help section (? button) of TLM.","1. Login in DC1
2. Navigate to TLM
3. Click on AI Assist in Help section","The AI Assist chat window should open, displaying the chat interface for user interaction.",Not Automated,
,,Verify that the UI of the AI Assist chat window matches the specified design guidelines.,"1. Login in DC1
2. Navigate to TLM
3. Click on AI Assist in Help section","The chat window's UI elements, including the header, text, text box, font, color, icons, spacing, and other design elements, should match the approved design specifications.
https://www.figma.com/design/qSLS3mhk1aGUEj2FBDMAzA/AI-Onboarding-Chat-Bot?node-id=1259-7359&node-type=canvas&t=8VUyd9DHn7sJTuGK-0",Not Automated,
,Chat bot response,Verify that the chatbot greets the user with a Greeting message.,"1. Login in DC1
2. Navigate to TLM
3. Click on AI Assist in Help section","Chatbot displays a greeting message.
eg : How can i assit you",Not Automated,
,,Verify chatbot responds accurately to a valid query.,"1. Open AI assist
2. Type the valid input data, 
eg : “How can I install my SSL certificate?”
 into the text box of the chat window.
3. Press ""Enter"" or click the send button to submit the query.
4.Observe Response",Relevant answer from the Digicert knowledge base should be displayed.,Not Automated,
,,Verify chatbot corrects grammatical errors in queries.,"Preconditions: User is logged in and chatbot is open.
Test Steps:
1.Type a poorly framed question (e.g., ""How instll SSL?"").
2. Press Enter.",Chatbot corrects the question and provides an accurate response.,Not Automated,
,,Ensure the chatbot cannot provide an answer to unrecognizable input.,"1. Type gibberish (e.g., ""asdjflkjasd?"").
2. Press Enter.","Chatbot responds with ""I did not understand that.""",Not Automated,
,,Ensure the chatbot provides an error response for irrelevant queries.,"1. Type an irrelevant question (e.g., ""What is the weather today?"").
2. Press Enter.","The chatbot provides a friendly message indicating it cannot assist with that specific query, ",Not Automated,
,Copy to clipboard,"Ensure that ""Copy Response"" button is avaialble only after receiving a complete response.","1. Type any input
2. Press Enter/Send button
3. Wait for complete response and observe","""Copy Response"" button should be available after receving the complete response",Not Automated,
,,"Verify the ""Copy to Clipboard"" functionality.","Preconditions: User has received a response from the chatbot.
Test Steps: 
1. Click the ""Copy Response"" button.","Response is copied and a confirmation message with ""Response is copied to clipboard"" is displayed",Not Automated,
,Feedback,Validate that feedback can be provided after receiving an answer.,"Preconditions: User has received an answer.
Test Steps: 

1. Click the thumbs up/Down button.","Thumbs up/down button should be enabled 
""Thanks for the feedback!"" message should be shown",Not Automated,
